arb_id,name,also_known_as,listed_first,listed_last,country,born_year,female,attorney,academic,public_bodies,sport_bodies,associated_with,case_nums,n_cases,first_appointment,latest_appointment,delisted,delisted_age,years_listed
66,David Grace,NA,2000,2023,AUS,1953,0,1,0,0,1,"Maccabi World Union,Athletics Australia","1574,3738,284,1591, 1592, 1616,1040,A1-2009,OG 10-003,ADD 32",8,2000-08-14,2021-12-22,TRUE,70,23
67,George Abela,NA,2000,NA,MLT,1948,0,1,0,1,1,Malta Football Association,"6275,6275-PA,201,1077,1029,1609,1610",7,2000-01-07,2021-01-20,FALSE,NA,NA
68,Jean-Philippe Rochat,NA,2000,2023,CHE,1957,0,1,0,0,1,"Swiss Ski Federation,Kellerhals Carrard,CAS","OG 00-013,944,899,1132,1181,1233, 1234,1232,1210,1374,1338,1355,1518,1517,1974,1947,3027,3324, 3369,3671,3628,3576,3516,317,281,330,461, 471, 473,1100,1164,1483,1480,2873,5356,5324,JO 00-004,486,708, 709, 713,640,1001,808,1018,2705,2705-O",41,2000-09-18,2018-10-31,TRUE,66,23
69,Maidie E. Oliveau,Maidie Oliveau,2000,NA,USA,1953,1,1,0,0,1,"Arent Fox,WTA","JO 00-004,OG 00-014,OG 04-004,884,OG 06-002,OG 06-006,2041,5017,5885, 5936,OG 00-011,OG 02-003,831,OG 12-002,3124,951,OG 06-010,2398,2398-PA,JO 12-008,OG 12-004,3151",21,2000-09-18,2019-05-31,FALSE,NA,NA
70,Michael Geistlinger,NA,2000,2019,AUS,1956,0,0,1,0,0,NA,"255,714,OG AD 16-007,OG AD 16-004,5474,5473,5472,5471,5470,5469,5468,5433,5432,5431,5430,5429,5022,5511,5510,5509,5508,5507,718,1768,2225,2653,3436,3332,505,593,555,991,908,1043,1118,1109,1655,1654,1569,1564,1599,1802,2311, 2312,OG 10-002,OG 10-001,2561,2452,2423,2797,2789,3228,3671,3576,3889,4355,4285,4200,3881,4511,4708,4707,4469,4464,4463,4439,OG AD 16-011,OG AD 16-005",67,2000-06-16,2018-02-01,TRUE,63,19
71,Peter Leaver,NA,2000,2008,GBR,1943,0,1,0,0,1,FA Premier League,"OG 02-001,461, 471, 473,718,593,985,1192,1190,1153,1149, 1211,1205,1217,1416,1370, 1376,1370, 1376-O,1290,1286, 1288, 1289,388,605,748,726,649,645,1024,1051,1183,1067,1025,1142,OG 06-006,1473,255,330,OG 02-007,370,OG 02-004,628,642,OG 06-001,1157,1125,1362, 1393",41,2000-06-16,2008-09-11,TRUE,65,8
72,Robert Ellicott,Robert J. Ellicott,2000,2019,AUS,1927,0,1,0,1,0,NA,"401,1081,1020,1603,1605,OG 00-008,OG 00-005,OG 00-003,OG 00-001,305,OG 02-005",11,2000-09-13,2008-12-16,TRUE,92,19
73,Thomas Lee,Thomas Mun Lung Lee,2000,2019,MYS,1938,0,1,0,0,1,Malaysian Golf Association,"OG 00-015,OG 08-007,OG 08-002,OG 00-013,OG 00-010,OG 12-007,OG 12-005",7,2000-09-25,2012-08-06,TRUE,81,19
74,Tricia Kavanagh,NA,2000,2020,AUS,1942,1,1,0,0,0,NA,"284,OG 00-002,A2-2011,OG AD 16-002,OG AD 16-001,OG 00-011,OG 00-006,1081,1087,1028,1020,1311,1591, 1592, 1616,1605,1561,A2-2009,2737,3242,A4-2014,OG AD 16-006,OG AD 16-003,A3-2016,8119",23,2000-08-14,2021-07-16,TRUE,78,20
75,Vittorio De Sanctis,NA,2000,2006,ITA,1936,0,1,1,0,0,NA,255,1,2000-06-16,2000-06-16,TRUE,70,6
